PI_pur;PI_sell
0.06949;0.04123
0.06794;0.03985
0.06509;0.03724
0.0657;0.03788
0.06631;0.03862
0.07029;0.0416
0.08169;0.0531
0.12173;0.05996
0.12191;0.061
0.20722;0.0559
0.19863;0.04794
0.18921;0.03979
0.18489;0.03553
0.08693;0.02884
0.08396;0.02656
0.08353;0.02653
0.08784;0.03005
0.19117;0.0406
0.20457;0.05238
0.20972;0.05744
0.20089;0.04821
0.09779;0.0356
0.08626;0.0246
0.04686;0.02172
0.03249;0.00916
0.02609;0.00496
0.0255;0.00358
0.02725;0.00507
0.03377;0.01006
0.05253;0.02407
0.06229;0.03534
0.10772;0.04603
0.10806;0.04818
0.19701;0.04632
0.19397;0.04389
0.18919;0.03985
0.19309;0.04336
0.09594;0.03786
0.09619;0.03787
0.09621;0.03787
0.10622;0.04683
0.20895;0.05548
0.21578;0.06093
0.21421;0.05989
0.20659;0.05259
0.11434;0.05018
0.10728;0.04377
0.05071;0.02551
0.04793;0.02234
0.0418;0.01764
0.04251;0.01744
0.04175;0.01688
0.04305;0.01759
0.04789;0.01984
0.05626;0.02984
0.09743;0.03785
0.09499;0.03631
0.17278;0.02503
0.16725;0.01985
0.16372;0.01684
0.16052;0.01384
0.06287;0.00803
0.05963;0.00486
0.05959;0.00486
0.07077;0.01484
0.16961;0.02297
0.18788;0.03817
0.1913;0.04104
0.18825;0.03785
0.08261;0.02453
0.07461;0.01701
0.02089;0.00171
0.02099;0.00167
0.01948;0.00037
0.01959;0.00026
0.01968;0.00026
0.01975;-0.00001
0.02282;-0.00001
0.02275;0.00015
0.02386;0.00154
0.02054;0.00176
0.0212;0.00133
0.01986;0.00027
0.01946;-0.00001
0.01945;-0.00001
0.01961;-0.00001
0.02013;-0.00001
0.01741;-0.00001
0.01865;0.0008
0.02253;0.00175
0.02358;0.00538
0.02622;0.00912
0.02914;0.0098
0.02669;0.00706
0.02434;0.00471
0.02491;0.00325
0.02406;0.00176
0.02403;0.00175
0.02425;0.00177
0.02438;0.00179
0.02493;0.00179
0.02908;0.00179
0.02851;0.00179
0.0242;0.00179
0.02244;0.00179
0.0262;0.00331
0.02904;0.00599
